DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
241136,241136,UT,DS,43,23,0,,,13:24:29 26-Feb-2023,NK,3,7.3075,-80.9193,10.6412,-95.7073,60.0,,401677541,-123.0
241136,241136,UT,DS,5,1,0,,,13:51:28 26-Feb-2023,MC,2,7.3044,-80.9216,7.3044,-80.9216,56.0,,401677535,-129.0
241136,241136,UT,DS,10,1,0,,,14:02:11 26-Feb-2023,NP,2,7.3089,-80.9184,7.3089,-80.9184,56.0,,401677539,-127.0
241136,241136,UT,DS,9,2,0,,,14:41:35 28-Feb-2023,NN,2,7.3123,-80.9262,7.3123,-80.9262,50.0,,401677527,-127.0
241136,241136,UT,DS,14,5,1,,,14:43:00 28-Feb-2023,MC,2,7.3106,-80.9311,7.3106,-80.9311,56.0,,401677527,-118.0
241136,241136,UT,DS,5,0,1,146.0,15.0,16:16:03 28-Feb-2023,NN,1,7.3114,-80.9238,7.3114,-80.9238,58.0,,401677529,-124.0
241136,241136,UT,DS,4,0,0,102.0,20.0,00:27:29 03-Mar-2023,NK,3,7.3055,-80.9312,7.3055,-80.9312,56.0,,401677530,-121.0
241136,241136,UT,DS,4,0,0,36.0,17.0,14:50:31 03-Mar-2023,NP,1,7.309,-80.9293,7.309,-80.9293,68.0,,401677529,-127.0
241136,241136,UT,DS,4,0,0,158.0,25.0,15:05:13 04-Mar-2023,MC,2,7.2883,-80.9378,7.2883,-80.9378,56.0,,401677539,-114.0
241136,241136,UT,DS,9,2,0,,,23:38:32 04-Mar-2023,NK,1,7.2729,-80.9412,7.2729,-80.9412,58.0,,401677544,-129.0
241136,241136,UT,DS,6,0,0,21.0,14.0,11:17:58 06-Mar-2023,SR,1,7.323,-80.917,7.323,-80.917,58.0,,401677543,-121.0
241136,241136,UT,DS,15,4,1,,,13:54:03 07-Mar-2023,NP,2,7.2485,-80.9279,7.2485,-80.9279,58.0,,401677538,-123.0
241136,241136,UT,DS,15,3,1,,,14:00:38 07-Mar-2023,MC,3,7.2517,-80.9648,7.2517,-80.9648,56.0,,401677538,-118.0
241136,241136,UT,DS,8,3,0,,,23:34:47 07-Mar-2023,A1,2,7.2058,-80.8974,7.2058,-80.8974,56.0,,401677536,-123.0
241136,241136,UT,DS,4,0,0,167.0,101.0,13:39:44 08-Mar-2023,MC,1,7.201,-80.8592,7.201,-80.8592,58.0,,401677541,-124.0
241136,241136,UT,DS,4,0,0,132.0,101.0,13:44:10 08-Mar-2023,NP,1,7.2019,-80.858,7.2019,-80.858,56.0,,401677542,-122.0
241136,241136,UT,DS,4,0,0,110.0,14.0,23:15:16 08-Mar-2023,A1,1,7.2088,-80.7571,7.2088,-80.7571,58.0,,401677541,-119.0
241136,241136,UT,DS,13,4,0,,,14:59:50 09-Mar-2023,MC,1,7.2218,-80.5437,7.2218,-80.5437,58.0,,401677541,-116.0
241136,241136,UT,DS,4,0,0,157.0,126.0,16:09:12 09-Mar-2023,NN,2,7.2064,-80.5393,7.2064,-80.5393,58.0,,401677543,-124.0
241136,241136,UT,DS,4,0,0,190.0,65.0,13:17:14 10-Mar-2023,NK,2,7.2043,-80.6892,7.2043,-80.6892,58.0,,401677547,-121.0
241136,241136,UT,DS,4,0,0,260.0,168.0,13:18:19 10-Mar-2023,NP,1,7.2043,-80.6905,7.2043,-80.6905,56.0,,401677547,-125.0
241136,241136,UT,DS,6,1,0,,,15:56:52 10-Mar-2023,NN,1,7.2021,-80.6712,7.2021,-80.6712,58.0,,401677547,-123.0
241136,241136,UT,DS,8,1,0,,,16:21:05 10-Mar-2023,MC,1,7.206,-80.7054,7.206,-80.7054,56.0,,401677552,-124.0
241136,241136,UT,DS,18,6,0,,,11:57:01 11-Mar-2023,SR,3,7.2039,-80.8094,7.2039,-80.8094,58.0,,401677550,-127.0
241136,241136,UT,DS,13,3,0,,,12:04:39 11-Mar-2023,A1,2,7.208,-80.8049,7.208,-80.8049,56.0,,401677549,-131.0
241136,241136,UT,DS,8,1,0,,,14:16:53 11-Mar-2023,MC,3,7.1971,-80.8601,7.1971,-80.8601,56.0,,401677548,-116.0
241136,241136,UT,DS,4,0,0,142.0,31.0,04:37:23 12-Mar-2023,NN,2,7.2267,-80.9077,7.2267,-80.9077,58.0,,401677537,-128.0
241136,241136,UT,DS,6,0,0,17.0,14.0,23:34:35 12-Mar-2023,A1,1,7.1998,-80.7913,7.1998,-80.7913,56.0,,401677546,-123.0
241136,241136,UT,DS,4,0,0,211.0,20.0,01:09:51 13-Mar-2023,NK,1,7.207,-80.8014,7.207,-80.8014,58.0,,401677544,-125.0
241136,241136,UT,DS,14,2,1,,,15:21:57 13-Mar-2023,NN,1,7.2112,-80.8266,7.2112,-80.8266,50.0,,401677549,-125.0
241136,241136,UT,DS,8,1,0,,,12:02:17 14-Mar-2023,SR,3,7.1606,-80.7658,7.1606,-80.7658,56.0,,401677547,-134.0
241136,241136,UT,DS,9,1,0,,,13:15:59 14-Mar-2023,NK,3,7.138,-80.745,7.138,-80.745,58.0,,401677550,-128.0
241136,241136,UT,DS,4,0,0,160.0,146.0,14:13:23 14-Mar-2023,NP,3,7.1286,-80.7502,7.1286,-80.7502,66.0,,401677553,-122.0
241136,241136,UT,DS,6,0,0,109.0,18.0,15:09:38 14-Mar-2023,NN,3,7.1233,-80.7628,7.1233,-80.7628,56.0,,401677552,-124.0
241136,241136,UT,DS,8,1,1,,,01:08:41 16-Mar-2023,NP,1,7.2,-80.8885,7.2,-80.8885,48.0,,401677557,-126.0
241136,241136,UT,DS,8,2,0,,,03:20:46 16-Mar-2023,MC,1,7.2224,-80.908,7.2224,-80.908,56.0,,401677527,-120.0
241136,241136,UT,DS,4,0,2,173.0,42.0,14:59:49 16-Mar-2023,MB,2,7.1851,-80.8041,7.1851,-80.8041,58.0,,401677546,-130.0
241136,241136,UT,DS,5,0,0,108.0,21.0,14:43:23 17-Mar-2023,MB,1,7.3077,-80.9242,7.3077,-80.9242,58.0,,401677547,-127.0
241136,241136,UT,DS,4,0,0,218.0,22.0,14:20:32 18-Mar-2023,MB,1,7.3058,-80.9386,7.3058,-80.9386,58.0,,401677549,-129.0
241136,241136,UT,DS,5,0,0,107.0,19.0,00:11:02 19-Mar-2023,SR,2,7.2888,-80.9166,7.2888,-80.9166,58.0,,401677543,-126.0
241136,241136,UT,DS,5,0,0,15.0,14.0,01:29:26 20-Mar-2023,NK,1,7.296,-80.9226,7.296,-80.9226,58.0,,401677556,-129.0
241136,241136,UT,DS,13,4,0,,,23:03:48 20-Mar-2023,SR,2,7.3081,-80.9406,7.3081,-80.9406,58.0,,401677551,-120.0
241136,241136,UT,DS,5,0,0,14.0,14.0,01:30:57 23-Mar-2023,NP,1,7.3054,-80.9098,7.3054,-80.9098,58.0,,401677551,-124.0
241136,241136,UT,DS,6,0,0,102.0,14.0,15:09:24 23-Mar-2023,MC,1,7.3009,-80.9161,7.3009,-80.9161,58.0,,401677547,-118.0
241136,241136,UT,DS,5,0,0,14.0,14.0,14:53:45 24-Mar-2023,NN,1,7.316,-80.9188,7.316,-80.9188,66.0,,401677551,-128.0
241136,241136,UT,DS,5,1,1,,,02:40:38 25-Mar-2023,MB,1,7.2956,-80.9537,7.2956,-80.9537,56.0,,401677552,-131.0
241136,241136,UT,DS,4,0,0,126.0,17.0,03:39:56 25-Mar-2023,NN,1,7.3038,-80.9434,7.3038,-80.9434,58.0,,401677547,-130.0
