DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
241143,241143,UT,DS,5,0,0,158.0,14.0,2023-04-24 14:06:25,MC,1,7.2792,-80.9461,7.2792,-80.9461,60.0,,401677462,-125
241143,241143,UT,DS,4,0,0,14.0,14.0,2023-04-25 15:00:54,NN,1,7.279,-80.9173,7.279,-80.9173,56.0,,401677471,-127
241143,241143,UT,DS,5,0,0,163.0,17.0,2023-04-26 01:16:30,NP,3,7.3012,-80.9286,7.3012,-80.9286,66.0,,401677469,-125
241143,241143,UT,DS,5,0,0,144.0,108.0,2023-04-26 02:35:03,MC,3,7.3125,-80.9285,7.3125,-80.9285,56.0,,401677466,-119
241143,241143,UT,DS,4,0,0,100.0,19.0,2023-04-26 03:03:14,NP,1,7.2875,-80.9203,7.2875,-80.9203,58.0,,401677475,-130
241143,241143,UT,DS,7,0,1,31.0,14.0,2023-04-26 14:14:04,MB,1,7.3185,-80.9466,7.3185,-80.9466,58.0,,401677484,-128
241143,241143,UT,DS,9,0,0,14.0,14.0,2023-04-26 16:26:50,NN,1,7.3181,-80.9252,7.3181,-80.9252,58.0,,401677473,-128
241143,241143,UT,DS,7,0,0,116.0,48.0,2023-04-27 01:07:16,NP,1,7.3053,-80.9191,7.3053,-80.9191,48.0,,401677472,-126
241143,241143,UT,DS,4,0,0,174.0,104.0,2023-04-27 02:11:07,MC,1,7.3107,-80.9239,7.3107,-80.9239,58.0,,401677470,-121
241143,241143,UT,DS,9,0,3,23.0,14.0,2023-04-27 03:00:51,MB,2,7.3075,-80.9181,7.3075,-80.9181,58.0,,401677469,-131
241143,241143,UT,DS,6,0,0,14.0,14.0,2023-04-27 14:50:02,MC,1,7.2908,-80.929,7.2908,-80.929,58.0,,401677475,-115
241143,241143,UT,DS,9,2,1,,,2023-04-27 15:31:14,MB,1,7.3088,-80.9274,7.3088,-80.9274,58.0,,401677477,-129
241143,241143,UT,DS,9,1,0,,,2023-04-27 16:23:29,NN,1,7.2827,-80.9255,7.2827,-80.9255,58.0,,401677474,-124
241143,241143,UT,DS,6,1,0,,,2023-04-27 23:38:57,A1,1,7.2765,-80.9193,7.2765,-80.9193,56.0,,401677467,-125
241143,241143,UT,DS,5,0,0,180.0,80.0,2023-04-28 02:33:55,NP,3,7.2606,-80.9469,7.2606,-80.9469,58.0,,401677467,-132
241143,241143,UT,DS,6,1,0,,,2023-04-28 14:29:00,MC,1,7.1924,-80.8797,7.1924,-80.8797,58.0,,401677473,-115
241143,241143,UT,DS,4,0,1,54.0,15.0,2023-04-29 02:20:13,MB,2,7.2011,-80.8378,7.2011,-80.8378,58.0,,401677466,-129
241143,241143,UT,DS,4,0,1,207.0,154.0,2023-04-29 03:08:34,MC,1,7.1995,-80.8184,7.1995,-80.8184,58.0,,401677469,-119
241143,241143,UT,DS,4,0,0,165.0,43.0,2023-04-29 03:14:58,NN,3,7.1996,-80.8172,7.1996,-80.8172,66.0,,401677469,-124
241143,241143,UT,DS,6,1,1,,,2023-04-29 11:13:40,A1,2,7.2008,-80.7459,7.2008,-80.7459,58.0,,401677471,-120
241143,241143,UT,DS,13,3,1,,,2023-04-30 02:13:50,NP,3,7.2169,-80.6365,7.2169,-80.6365,56.0,,401677472,-124
241143,241143,UT,DS,4,0,0,183.0,66.0,2023-04-30 03:00:53,NN,3,7.2169,-80.6381,7.2169,-80.6381,56.0,,401677472,-125
241143,241143,UT,DS,4,0,0,141.0,58.0,2023-05-01 02:04:52,NK,1,7.2239,-80.6049,7.2239,-80.6049,56.0,,401677478,-130
241143,241143,UT,DS,4,1,0,,,2023-05-01 02:25:20,MC,1,7.2202,-80.5916,7.2202,-80.5916,46.0,,401677478,-115
241143,241143,UT,DS,10,2,1,,,2023-05-01 12:03:06,SR,3,7.2224,-80.5838,7.2224,-80.5838,58.0,,401677476,-123
