DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
241140,241140,UT,DS,9,3,1,,,02:02:01 18-Apr-2023,MC,2,7.3083,-80.9261,7.3083,-80.9261,50.0,,401677496,-122
241140,241140,UT,DS,6,0,0,14.0,14.0,23:07:06 21-Apr-2023,SR,2,7.3183,-80.9351,7.3183,-80.9351,50.0,,401677504,-124
241140,241140,UT,DS,8,2,0,,,02:10:46 22-Apr-2023,NP,2,7.2862,-80.9417,7.2862,-80.9417,58.0,,401677501,-122
241140,241140,UT,DS,7,2,0,,,02:11:15 22-Apr-2023,MC,1,7.2829,-80.9421,7.2829,-80.9421,56.0,,401677504,-122
241140,241140,UT,DS,5,0,2,14.0,14.0,03:00:41 22-Apr-2023,MB,1,7.2631,-80.9394,7.2631,-80.9394,56.0,,401677503,-133
241140,241140,UT,DS,6,1,0,,,03:00:48 22-Apr-2023,NN,1,7.2703,-80.929,7.2703,-80.929,56.0,,401677512,-127
241140,241140,UT,DS,5,0,0,165.0,21.0,11:39:16 22-Apr-2023,SR,3,7.2755,-80.947,7.2755,-80.947,58.0,,401677496,-132
241140,241140,UT,DS,4,0,0,14.0,14.0,23:34:52 22-Apr-2023,A1,1,7.2839,-80.9652,7.2839,-80.9652,68.0,,401677490,-126
241140,241140,UT,DS,6,0,0,14.0,14.0,11:21:03 23-Apr-2023,NK,1,7.3549,-80.985,7.3549,-80.985,56.0,,401677542,-130
241140,241140,UT,DS,6,1,0,,,12:55:07 23-Apr-2023,NP,1,7.2709,-80.9897,7.2709,-80.9897,56.0,,401677527,-128
241140,241140,UT,DS,5,0,1,48.0,14.0,14:36:26 23-Apr-2023,MC,1,7.2421,-80.982,7.2421,-80.982,56.0,,401677502,-122
241140,241140,UT,DS,8,0,0,35.0,14.0,14:35:52 23-Apr-2023,NP,1,7.2453,-80.9718,7.2453,-80.9718,58.0,,401677504,-125
241140,241140,UT,DS,4,1,0,,,15:14:44 23-Apr-2023,MB,1,7.2545,-80.9736,7.2545,-80.9736,58.0,,401677505,-126
241140,241140,UT,DS,4,0,1,224.0,136.0,01:43:46 24-Apr-2023,NK,3,7.2586,-80.9673,7.2586,-80.9673,56.0,,401677504,-127
241140,241140,UT,DS,6,0,0,136.0,18.0,03:20:16 24-Apr-2023,MC,2,7.2573,-80.9728,7.2573,-80.9728,58.0,,401677505,-121
241140,241140,UT,DS,4,0,0,160.0,31.0,04:13:59 24-Apr-2023,NN,2,7.2692,-80.9744,7.2692,-80.9744,58.0,,401677498,-126
241140,241140,UT,DS,5,0,0,83.0,19.0,23:11:28 24-Apr-2023,SR,3,7.3261,-80.925,7.3261,-80.925,58.0,,401677509,-122
241140,241140,UT,DS,6,0,0,19.0,16.0,00:52:42 25-Apr-2023,SR,1,7.3355,-80.9196,7.3355,-80.9196,56.0,,401677512,-133
241140,241140,UT,DS,5,0,0,55.0,18.0,01:15:05 25-Apr-2023,NK,1,7.3127,-80.9156,7.3127,-80.9156,56.0,,401677511,-125
