DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
241139,241139,UT,DS,7,1,0,,,2023-02-26 14:02:41,NP,1,7.3184,-80.9111,7.3184,-80.9111,58.0,,401677699,-130.0
241139,241139,UT,DS,5,0,0,111.0,92.0,2023-03-03 00:26:42,NK,2,7.3102,-80.9259,7.3102,-80.9259,56.0,,401677676,-125.0
241139,241139,UT,DS,4,0,2,20.0,15.0,2023-03-03 15:45:40,NN,1,7.3463,-80.9107,7.3463,-80.9107,58.0,,401677689,-129.0
241139,241139,UT,DS,5,0,0,160.0,93.0,2023-03-04 04:30:42,NN,2,7.3241,-80.9096,7.3241,-80.9096,58.0,,401677671,-124.0
241139,241139,UT,DS,5,0,0,140.0,117.0,2023-03-05 01:18:40,NK,2,7.3106,-80.9241,7.3106,-80.9241,58.0,,401677671,-122.0
241139,241139,UT,DS,4,0,0,111.0,15.0,2023-03-06 14:08:37,NP,1,7.3096,-80.9426,7.3096,-80.9426,58.0,,401677666,-126.0
241139,241139,UT,DS,5,0,0,15.0,15.0,2023-03-06 15:13:32,NN,1,7.3218,-80.9522,7.3218,-80.9522,56.0,,401677665,-127.0
241139,241139,UT,DS,6,1,0,,,2023-03-07 01:14:09,NP,1,7.3135,-80.9156,7.3135,-80.9156,58.0,,401677667,-124.0
241139,241139,UT,DS,5,0,0,106.0,15.0,2023-03-07 23:35:18,A1,3,7.3334,-80.9235,7.3334,-80.9235,56.0,,401677665,-126.0
241139,241139,UT,DS,8,0,3,38.0,15.0,2023-03-09 15:45:34,MB,1,7.3047,-80.9534,7.3047,-80.9534,56.0,,401677667,-131.0
241139,241139,UT,DS,5,0,0,15.0,15.0,2023-03-10 15:32:32,MB,1,7.3028,-80.9695,7.3028,-80.9695,56.0,,401677667,-127.0
241139,241139,UT,DS,6,0,1,15.0,15.0,2023-03-12 14:35:19,NP,1,7.313,-80.9277,7.313,-80.9277,58.0,,401677668,-131.0
241139,241139,UT,DS,11,2,1,,,2023-03-13 01:11:04,NK,2,7.3044,-80.9206,7.3044,-80.9206,58.0,,401677670,-122.0
241139,241139,UT,DS,5,0,0,18.0,15.0,2023-03-14 15:45:02,MB,1,7.3128,-80.9192,7.3128,-80.9192,58.0,,401677669,-131.0
241139,241139,UT,DS,6,0,0,77.0,15.0,2023-03-15 02:02:25,NK,1,7.3172,-80.9305,7.3172,-80.9305,46.0,,401677664,-127.0
241139,241139,UT,DS,5,0,0,84.0,21.0,2023-03-16 00:04:54,SR,1,7.3061,-80.9244,7.3061,-80.9244,56.0,,401677668,-124.0
241139,241139,UT,DS,5,1,0,,,2023-03-16 01:08:24,NP,1,7.3097,-80.9206,7.3097,-80.9206,58.0,,401677668,-125.0
241139,241139,UT,DS,4,0,0,15.0,15.0,2023-03-16 14:16:48,MC,1,7.2983,-80.922,7.2983,-80.922,56.0,,401677662,-118.0
241139,241139,UT,DS,8,1,0,,,2023-03-17 01:09:28,NK,3,7.3041,-80.9284,7.3041,-80.9284,56.0,,401677667,-124.0
241139,241139,UT,DS,10,2,0,,,2023-03-17 03:00:40,MC,3,7.3099,-80.9158,7.3099,-80.9158,58.0,,401677664,-120.0
241139,241139,UT,DS,3,0,0,16.0,16.0,2023-03-19 00:19:41,NK,1,7.3007,-80.9275,7.3007,-80.9275,56.0,,401677668,-122.0
241139,241139,UT,DS,7,1,1,,,2023-03-19 02:20:21,MC,2,7.3073,-80.919,7.3073,-80.919,56.0,,401677668,-118.0
241139,241139,UT,DS,5,0,0,37.0,15.0,2023-03-19 11:16:39,A1,3,7.3862,-80.9203,7.3862,-80.9203,66.0,,401677665,-123.0
241139,241139,UT,DS,5,0,0,169.0,24.0,2023-03-20 01:38:20,NK,3,7.5409,-80.963,7.5409,-80.963,58.0,,401677663,-125.0
241139,241139,UT,DS,5,0,0,136.0,24.0,2023-03-20 12:22:05,NK,3,7.6519,-81.0433,7.6519,-81.0433,56.0,,401677663,-125.0
241139,241139,UT,DS,4,0,0,83.0,45.0,2023-03-20 16:14:33,MC,1,7.7042,-81.1035,7.7042,-81.1035,58.0,,401677664,-124.0
241139,241139,UT,DS,4,0,0,168.0,160.0,2023-03-21 12:49:03,NP,2,7.7002,-81.1148,7.7002,-81.1148,58.0,,401677661,-127.0
241139,241139,UT,DS,5,0,0,162.0,94.0,2023-03-21 14:28:18,NP,3,7.6559,-81.128,7.6559,-81.128,56.0,,401677660,-126.0
241139,241139,UT,DS,4,0,0,117.0,20.0,2023-03-22 00:20:25,SR,1,7.587,-81.2568,7.587,-81.2568,56.0,,401677652,-125.0
241139,241139,UT,DS,5,0,0,116.0,15.0,2023-03-22 04:09:37,NN,1,7.6436,-81.2912,7.6436,-81.2912,58.0,,401677665,-123.0
241139,241139,UT,DS,5,0,0,70.0,15.0,2023-03-23 04:04:15,NN,2,7.6687,-81.4697,7.6687,-81.4697,58.0,,401677658,-125.0
241139,241139,UT,DS,5,0,0,154.0,19.0,2023-03-25 11:21:53,SR,1,7.391,-81.2452,7.391,-81.2452,58.0,,401677662,-125.0
241139,241139,UT,DS,5,0,0,96.0,15.0,2023-03-26 15:47:04,MC,2,7.3196,-80.9117,7.3196,-80.9117,58.0,,401677664,-121.0
241139,241139,UT,DS,13,3,0,,,2023-03-27 00:02:46,A1,2,7.2976,-80.9271,7.2976,-80.9271,58.0,,401677657,-130.0
241139,241139,UT,DS,9,1,0,,,2023-03-29 02:00:45,NP,1,7.3283,-80.9318,7.3283,-80.9318,58.0,,401677666,-124.0
241139,241139,UT,DS,4,0,0,123.0,15.0,2023-03-29 04:34:20,NN,1,7.3239,-80.9234,7.3239,-80.9234,58.0,,401677663,-124.0
241139,241139,UT,DS,5,0,2,131.0,15.0,2023-03-31 14:04:51,MC,2,7.3398,-80.9096,7.3398,-80.9096,58.0,,401677665,-119.0
241139,241139,UT,DS,7,0,0,15.0,15.0,2023-03-31 15:06:25,NN,1,7.3498,-80.9191,7.3498,-80.9191,58.0,,401677669,-126.0
241139,241139,UT,DS,5,0,0,15.0,15.0,2023-04-01 01:20:41,NP,1,7.3091,-80.928,7.3091,-80.928,57.0,,401677678,-122.0
241139,241139,UT,DS,7,0,0,15.0,15.0,2023-04-01 02:15:32,NN,1,7.3157,-80.9116,7.3157,-80.9116,58.0,,401677668,-133.0
241139,241139,UT,DS,6,0,0,15.0,15.0,2023-04-01 02:45:02,MC,1,7.3212,-80.9143,7.3212,-80.9143,56.0,,401677668,-124.0
241139,241139,UT,DS,8,1,1,,,2023-04-02 01:04:59,NK,2,7.3136,-80.9683,7.3136,-80.9683,58.0,,401677666,-125.0
241139,241139,UT,DS,4,0,0,92.0,15.0,2023-04-03 02:09:33,MC,1,7.3406,-80.9079,7.3406,-80.9079,58.0,,401677667,-120.0
241139,241139,UT,DS,4,0,0,119.0,30.0,2023-04-03 03:53:37,MC,2,7.3307,-80.9054,7.3307,-80.9054,56.0,,401677664,-121.0
241139,241139,UT,DS,5,0,0,16.0,15.0,2023-04-04 00:05:25,SR,1,7.365,-80.9118,7.365,-80.9118,58.0,,401677668,-132.0
241139,241139,UT,DS,4,0,0,102.0,15.0,2023-04-04 02:21:19,NP,3,7.3564,-80.9045,7.3564,-80.9045,68.0,,401677671,-123.0
